Symbol,Current Stock Price,Predicted Short Position,Difference,Company Name,Sector,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
CSCO,$59.21,$46.23,"$12.98
","Cisco Systems, Inc.",Technology,Communication Equipment,234385408000.0,25.257511,5.185936,Not Available,0.0272,2.33,52976001024.0,0.17731,13752000512.0,Not Available
ISRG,$542.00,$333.44,"$208.56
","Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,194017820672.0,87.71658,12.451027,Not Available,Not Available,6.21,7866899968.0,0.28513,2505100032.0,Not Available
PDD,$96.56,$96.01,"$0.55
",PDD Holdings Inc.,Consumer Cyclical,Internet Retail,145348673536.0,10.341898,0.76905555,Not Available,Not Available,10.12,341592997888.0,0.28931,97656446976.0,Not Available
VRTX,$468.13,$364.11,"$104.02
",Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,120598339584.0,Not Available,7.6529365,Not Available,Not Available,-1.9,10625800192.0,-0.045149997,4446600192.0,Not Available
GILD,$92.58,$66.53,"$26.05
","Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,115130417152.0,1026.4443,6.2305255,Not Available,0.033299997,0.09,28298999808.0,0.00445,13948999680.0,Not Available
MDB,$322.49,$246.47,"$76.02
","MongoDB, Inc.",Technology,Software - Infrastructure,22132664320.0,Not Available,19.638676,Not Available,Not Available,-2.74,1819609984.0,-0.12084,-264264992.0,Not Available
MCHP,$68.17,$66.49,"$1.68
",Microchip Technology Incorporated,Technology,Semiconductors,33036879872.0,42.708332,5.262257,Not Available,0.0296,1.44,5496600064.0,0.14220001,1950800000.0,Not Available
CDNS,$306.81,$254.83,"$51.98
","Cadence Design Systems, Inc.",Technology,Software - Application,84686831616.0,81.32454,18.52395,Not Available,Not Available,3.79,4353906176.0,0.23868,1450493056.0,Not Available
CCEP,$77.58,$61.92,"$15.66
",Coca-Cola Europacific Partners PLC,Consumer Defensive,Beverages - Non-Alcoholic,36667957248.0,21.497282,4.2715983,Not Available,0.026500002,3.68,19153000448.0,0.08416,2948000000.0,Not Available
CHTR,$396.97,$269.99,"$126.98
","Charter Communications, Inc.",Communication Services,Telecom Services,55231377408.0,12.180935,3.9177225,Not Available,Not Available,31.89,54869999616.0,0.085200004,21500000256.0,Not Available
KDP,$32.65,$29.79,"$2.86
",Keurig Dr Pepper Inc.,Consumer Defensive,Beverages - Non-Alcoholic,45861576704.0,20.367472,1.8367014,Not Available,0.0272,1.66,15148000256.0,0.15038,4230000128.0,Not Available
ZS,$206.59,$165.90,"$40.69
","Zscaler, Inc.",Technology,Software - Infrastructure,31903051776.0,Not Available,24.698984,Not Available,Not Available,-0.25,2167770880.0,-0.026619999,-90237000.0,Not Available
WBD,$10.48,$7.30,"$3.18
","Warner Bros. Discovery, Inc.",Communication Services,Entertainment,30640091136.0,Not Available,0.8725114,Not Available,Not Available,-4.58,39578001408.0,-0.28342,7144999936.0,Not Available
ADI,$218.05,$186.81,"$31.24
","Analog Devices, Inc.",Technology,Semiconductors,108053782528.0,66.17629,3.0718005,Not Available,0.0165,3.29,9700435968.0,0.17068,4361349120.0,Not Available
ADBE,$515.93,$458.55,"$57.38
",Adobe Inc.,Technology,Software - Infrastructure,242079350784.0,38.462723,14.521339,Not Available,Not Available,12.34,20946999296.0,0.25588,8134000128.0,Not Available
SMCI,$32.64,$28.07,"$4.57
","Super Micro Computer, Inc.",Technology,Computer Hardware,22421295104.0,18.870647,4.0697427,Not Available,Not Available,2.01,14942854144.0,0.08085,1304590720.0,Not Available
CPRT,$63.39,$48.29,"$15.10
","Copart, Inc.",Industrials,Specialty Business Services,60326490112.0,43.41259,7.9457316,Not Available,Not Available,1.43,4236823040.0,0.32171002,1754322944.0,Not Available
PEP,$163.45,$159.36,"$4.09
","PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,218009206784.0,23.402061,11.215414,Not Available,0.0341,6.79,91919998976.0,0.1018,16913000448.0,Not Available
COST,$971.88,$624.32,"$347.56
",Costco Wholesale Corporation,Consumer Defensive,Discount Stores,441602801664.0,58.14059,18.54112,Not Available,0.0047,17.0,254453006336.0,0.02895,11521999872.0,Not Available
MDLZ,$64.95,$65.14,"$-0.19
","Mondelez International, Inc.",Consumer Defensive,Confectioners,84403945472.0,22.20922,3.006721,Not Available,0.03,2.82,36151001088.0,0.10556,7414000128.0,Not Available
BKNG,$5201.98,$3343.11,"$1858.87
",Booking Holdings Inc.,Consumer Cyclical,Travel Services,175180857344.0,35.586452,Not Available,Not Available,0.0066000004,148.06,23051999232.0,0.21846001,7183000064.0,Not Available
GFS,$43.25,$38.64,"$4.61
",GlobalFoundries Inc.,Technology,Semiconductors,24305766400.0,33.31818,2.107533,Not Available,Not Available,1.32,6774000128.0,0.10954001,2343000064.0,Not Available
XEL,$72.56,$50.81,"$21.75
",Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,39329832960.0,20.323442,2.0318618,Not Available,0.032,3.37,13763000320.0,0.13667,5510000128.0,Not Available
WDAY,$249.99,$217.08,"$32.91
","Workday, Inc.",Technology,Software - Application,72447778816.0,45.05246,8.97225,Not Available,Not Available,6.1,7863000064.0,0.19598,636000000.0,Not Available
FAST,$83.56,$63.79,"$19.77
",Fastenal Company,Industrials,Industrial Distribution,45406982144.0,39.323383,12.587993,Not Available,0.0197,2.01,7480099840.0,0.15439999,1693200000.0,Not Available
KHC,$31.97,$30.97,"$1.00
",The Kraft Heinz Company,Consumer Defensive,Packaged Foods,38149312512.0,28.423422,0.789263,Not Available,0.0507,1.11,26129999872.0,0.05243,6446000128.0,Not Available
ABNB,$136.11,$118.53,"$17.58
","Airbnb, Inc.",Consumer Cyclical,Travel Services,86743293952.0,47.567474,10.332983,Not Available,Not Available,2.89,10840000512.0,0.16956,1672999936.0,Not Available
SBUX,$102.46,$75.32,"$27.14
",Starbucks Corporation,Consumer Cyclical,Restaurants,111588163584.0,29.55287,Not Available,Not Available,0.0249,3.31,36176199680.0,0.10396,6700000256.0,Not Available
INTU,$641.73,$575.70,"$66.03
",Intuit Inc.,Technology,Software - Application,188174204928.0,65.33042,10.219672,Not Available,0.0061000003,10.29,16284999680.0,0.18195,4496000000.0,Not Available
ODFL,$225.14,$174.91,"$50.23
","Old Dominion Freight Line, Inc.",Industrials,Trucking,43726491648.0,35.434555,10.395248,Not Available,0.0050999997,5.73,5924531200.0,0.21027,1971409024.0,Not Available
MNST,$55.13,$46.63,"$8.50
",Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,51465756672.0,33.923077,8.904593,Not Available,Not Available,1.56,7410776064.0,0.21662001,2105284992.0,Not Available
AMZN,$207.89,$151.34,"$56.55
","Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2421197635584.0,49.02998,9.28696,Not Available,Not Available,4.67,620127977472.0,0.080419995,111583002624.0,Not Available
GEHC,$83.22,$70.04,"$13.18
",GE HealthCare Technologies Inc.,Healthcare,Health Information Services,37806198784.0,22.364382,4.483933,Not Available,0.0017,3.65,19559000064.0,0.08564,3571000064.0,Not Available
INTC,$24.05,$22.12,"$1.93
",Intel Corporation,Technology,Semiconductors,89624141824.0,Not Available,0.89960605,Not Available,0.0224,-3.74,54246998016.0,-0.29423,10439000064.0,Not Available
CSGP,$81.34,$73.90,"$7.44
","CoStar Group, Inc.",Real Estate,Real Estate Services,32079370240.0,186.30952,4.2775927,Not Available,Not Available,0.42,2666899968.0,0.06577,170300000.0,Not Available
DXCM,$77.99,$71.65,"$6.34
","DexCom, Inc.",Healthcare,Medical Devices,31431188480.0,47.836365,15.577265,Not Available,Not Available,1.65,3953999872.0,0.17218,840400000.0,Not Available
