Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
ADBE,Adobe Inc.,Technology,213901983744,638.25,433.97,536.11,481.04,Software - Infrastructure,213444182016.0,40.98732,14.834939,1.89,Not Available,11.83,20946999296.0,0.25588,8134000128.0,Not Available
AMD,"Advanced Micro Devices, Inc.",Technology,265560195072,227.3,94.07,160.685,159.92,Semiconductors,264216854528.0,192.05882,4.671894,1.43,Not Available,0.85,23275999232.0,0.05817,4046000128.0,Not Available
ABNB,"Airbnb, Inc.",Consumer Cyclical,86996099072,170.1,110.38,140.24,135.78,Travel Services,86907568128.0,18.696598,10.888202,1.77,Not Available,7.35,10504999936.0,0.46111,1636999936.0,Not Available
GOOGL,Alphabet Inc.,Communication Services,2086970195968,191.75,122.69,157.22,166.72,Internet Content & Information,2085919260672.0,24.204449,6.911873,1.06,0.0047999998,6.97,328284012544.0,0.26702,115478003712.0,Not Available
GOOG,Alphabet Inc.,Communication Services,2087333920768,193.31,123.925,158.6175,168.34,Internet Content & Information,2085151703040.0,24.430676,6.976475,1.06,0.0047999998,6.97,328284012544.0,0.26702,115478003712.0,Not Available
AMZN,"Amazon.com, Inc.",Consumer Cyclical,1993429221376,201.2,131.71,166.45499999999998,188.39,Internet Retail,1986712043520.0,45.28469,8.397959,1.25,Not Available,4.18,604333998080.0,0.0735,104049000448.0,Not Available
AEP,"American Electric Power Company, Inc.",Utilities,51754098688,105.18,74.73,89.95500000000001,99.11,Utilities - Regulated Electric,51871059968.0,19.496,1.9841238,2.66,0.0375,5.0,19523799040.0,0.13488,7350900224.0,Not Available
AMGN,Amgen Inc.,Healthcare,169624027136,346.85,249.7,298.275,317.17,Drug Manufacturers - General,169610592256.0,54.423275,28.620455,2.97,0.028399998,5.8,30933999616.0,0.10118,11566000128.0,Not Available
ADI,"Analog Devices, Inc.",Technology,115781074944,244.14,155.16,199.65,230.14,Semiconductors,115841744896.0,70.489426,3.2919002,62.47,0.016,3.31,9700435968.0,0.17068,4361349120.0,Not Available
ANSS,"ANSYS, Inc.",Technology,28720041984,364.31,258.01,311.16,321.17,Software - Application,28580354048.0,57.886105,5.115293,5.1,Not Available,5.65,2324645888.0,0.21297,742475008.0,Not Available
AAPL,Apple Inc.,Technology,3549532258304,237.49,164.08,200.78500000000005,233.4,Consumer Electronics,3544075730944.0,35.53354,53.19489,3.16,0.0043,6.56,385603010560.0,0.26441,131781001216.0,Not Available
AMAT,"Applied Materials, Inc.",Technology,155177549824,255.89,129.21,192.55,185.34,Semiconductor Equipment & Materials,154987954176.0,21.123596,8.226491,1.51,0.0086,8.9,26854000640.0,0.27743,8204000256.0,Not Available
ARM,Arm Holdings plc,Technology,162733441024,188.75,47.12,117.935,150.02,Semiconductors,162508128256.0,387.6625,28.694487,3.08,Not Available,0.4,3496999936.0,0.12125,297000000.0,Not Available
ASML,ASML Holding N.V.,Technology,283077017600,1110.09,593.56,851.8249999999999,706.9946,Semiconductor Equipment & Materials,282097516544.0,37.252106,17.212673,1.77,0.0095999995,18.98,26237100032.0,0.26399,8865399808.0,Not Available
AZN,AstraZeneca PLC,Healthcare,233598779392,87.68,60.47,74.075,76.01,Drug Manufacturers - General,233210871808.0,36.512135,2.9505334,1.15,0.0195,2.06,49132998656.0,0.13107,16972999680.0,Not Available
TEAM,Atlassian Corporation,Technology,50327789568,258.69,135.29,196.99,188.66,Software - Application,50065944576.0,Not Available,48.476288,2.13,Not Available,-1.15,4358602752.0,-0.06895,-38339000.0,Not Available
ADSK,"Autodesk, Inc.",Technology,62262702080,294.13,192.01,243.07,286.52,Software - Application,62164643840.0,59.231007,25.067783,3.04,Not Available,4.87,5805000192.0,0.18208,1396000000.0,Not Available
ADP,"Automatic Data Processing, Inc.",Technology,117840306176,294.18,205.53,249.855,286.44,Software - Application,117718966272.0,31.684961,25.904156,3.13,0.0196,9.11,19202600960.0,0.19539,5581100032.0,Not Available
BKR,Baker Hughes Company,Energy,36360130560,39.05,28.32,33.685,37.4,Oil & Gas Equipment & Services,36236443648.0,16.421524,2.2372923,0.46,0.0225,2.23,27299999744.0,0.082049996,4336999936.0,Not Available
BIIB,Biogen Inc.,Healthcare,26964948992,268.3,181.25,224.775,185.01,Drug Manufacturers - General,26779973632.0,23.154924,1.6858629,3.17,Not Available,7.94,9671999488.0,0.11979,2728999936.0,Not Available
BKNG,Booking Holdings Inc.,Consumer Cyclical,148469514240,4428.7,2756.13,3592.415,4347.59,Travel Services,148446035968.0,31.051891,Not Available,1.12,0.0081,142.6,22399000576.0,0.22456,6986999808.0,Not Available
AVGO,Broadcom Inc.,Technology,816277356544,186.42,83.26,134.84,172.02,Semiconductors,817117986816.0,141.0887,2.9541883,1.79,0.0123000005,1.24,46814998528.0,0.108830005,22958000128.0,Not Available
