Symbol,Company Name,Sector,Sub Industry,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close,Industry,Market Capital,P/E Ratio,P/B Ratio,PEG Ratio,Dividend Yield,EPS,Revenue,Profit Margin,EBITDA,Earnings Date
MMM,3M Company,Industrials,"Saint Paul, Minnesota",70536724480.0,141.34,74.75752,108.04876,130.29,Conglomerates,70435979264.0,13.445427,15.174213,-4.58,0.0215,9.62,32637999104.0,0.13451,8117000192.0,Not Available
AOS,A. O. Smith Corporation,Industrials,"Milwaukee, Wisconsin",11087768576.0,92.45,69.17,80.81,77.0,Specialty Industrial Machinery,11112417280.0,20.221636,5.797715,2.04,0.0177,3.79,3893799936.0,0.14413,809100032.0,Not Available
ABT,Abbott Laboratories,Healthcare,"North Chicago, Illinois",198887964672.0,121.64,92.43,107.035,114.07,Medical Devices,199044562944.0,34.772038,5.062395,3.03,0.019299999,3.29,41216999424.0,0.13992,10641000448.0,Not Available
ABBV,AbbVie Inc.,Healthcare,"North Chicago, Illinois",334235697152.0,199.95,135.85,167.89999999999998,189.68,Drug Manufacturers - General,334641954816.0,63.15167,49.36295,2.83,0.0327,3.0,54999998464.0,0.09707,26121000960.0,Not Available
ACN,Accenture plc,Technology,"Dublin, Ireland",227113287680.0,387.51,278.69,333.1,361.32,Information Technology Services,226832105472.0,31.704369,8.0238495,2.91,0.0164,11.45,64896462848.0,0.111940004,11065912320.0,Not Available
ADBE,Adobe Inc.,Technology,"San Jose, California",213725904896.0,638.25,433.97,536.11,481.04,Software - Infrastructure,213312110592.0,40.96196,14.82576,1.89,Not Available,11.83,20946999296.0,0.25588,8134000128.0,Not Available
AMD,"Advanced Micro Devices, Inc.",Technology,"Santa Clara, California",265495445504.0,227.3,94.07,160.685,159.92,Semiconductors,264216854528.0,192.05882,4.671894,1.43,Not Available,0.85,23275999232.0,0.05817,4046000128.0,Not Available
AES,The AES Corporation,Utilities,"Arlington, Virginia",11712474112.0,22.21,14.67,18.44,17.05,Utilities - Diversified,11776456704.0,15.776192,3.8097978,1.46,0.0405,1.05,12428999680.0,0.06066,3503000064.0,Not Available
AFL,Aflac Incorporated,Financial Services,"Columbus, Georgia",61367648256.0,115.5,75.08,95.29,109.79,Insurance - Life,61538455552.0,11.579031,2.3682623,1.76,0.0182,9.49,19303999488.0,0.28340998,6498500096.0,Not Available
A,"Agilent Technologies, Inc.",Healthcare,"Santa Clara, California",37901438976.0,155.35,100.26,127.805,131.54,Diagnostics & Research,37878452224.0,27.407486,6.4213347,5.09,0.0072000003,4.81,6496999936.0,0.21747999,1564000000.0,Not Available
APD,"Air Products and Chemicals, Inc.",Basic Materials,"Upper Macungie Township, Pennsylvania",70067814400.0,332.43,212.24,272.33500000000004,318.26,Specialty Chemicals,70248996864.0,27.429686,4.651837,4.13,0.0222,11.52,12104399872.0,0.21239,4200199936.0,Not Available
ABNB,"Airbnb, Inc.",Consumer Cyclical,"San Francisco, California",86980296704.0,170.1,110.38,140.24,135.78,Travel Services,86901243904.0,18.695238,10.88741,1.77,Not Available,7.35,10504999936.0,0.46111,1636999936.0,Not Available
AKAM,"Akamai Technologies, Inc.",Technology,"Cambridge, Massachusetts",15707186176.0,129.17,87.59,108.38,102.85,Software - Infrastructure,15717792768.0,25.739454,3.3141634,2.42,Not Available,4.03,3927051008.0,0.16012,1122247040.0,Not Available
ALB,Albemarle Corporation,Basic Materials,"Charlotte, North Carolina",11518821376.0,153.54,71.97,112.755,98.14,Specialty Chemicals,11505305600.0,Not Available,1.2800931,79.02,0.0165,-4.72,7457882112.0,-0.06716,-840955008.0,Not Available
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,"Pasadena, California",19501690880.0,135.45,90.73,113.09,112.72,REIT - Office,19525283840.0,68.542946,1.0563414,0.43,0.0461,1.63,3085452032.0,0.09618,1905123968.0,Not Available
ALGN,"Align Technology, Inc.",Healthcare,"Tempe, Arizona",15945590784.0,335.4,178.52,256.96,215.8,Medical Instruments & Supplies,15977710592.0,36.564102,4.0529017,2.44,Not Available,5.85,3960518912.0,0.111490004,821755008.0,Not Available
ALLE,Allegion plc,Industrials,"Dublin, Ireland",12156192768.0,156.1,95.97,126.035,142.33,Security & Protection Services,12155758592.0,21.513079,7.7372327,2.55,0.0135,6.5,3724000000.0,0.15359999,888400000.0,Not Available
LNT,Alliant Energy Corporation,Utilities,"Madison, Wisconsin",15431040000.0,62.49,46.8,54.645,61.14,Utilities - Regulated Electric,15461819392.0,24.60408,2.276779,2.59,0.031400003,2.45,3961999872.0,0.15775,1608999936.0,Not Available
ALL,The Allstate Corporation,Financial Services,"Northbrook, Illinois",49560494080.0,198.79,125.63,162.20999999999998,189.21,Insurance - Property & Casualty,49705717760.0,17.160437,2.995322,0.08,0.0194,10.97,60302000128.0,0.050300002,4832999936.0,Not Available
GOOGL,Alphabet Inc.,Communication Services,"Mountain View, California",2083137257472.0,191.75,122.69,157.22,166.72,Internet Content & Information,2085115658240.0,24.195122,6.9092097,1.06,0.0047999998,6.97,328284012544.0,0.26702,115478003712.0,Not Available
GOOG,Alphabet Inc.,Communication Services,"Mountain View, California",2084027629568.0,193.31,123.925,158.6175,168.34,Internet Content & Information,2084153851904.0,24.418982,6.9731355,1.06,0.0047999998,6.97,328284012544.0,0.26702,115478003712.0,Not Available
MO,"Altria Group, Inc.",Consumer Defensive,"Richmond, Virginia",85456027648.0,54.95,39.25,47.1,50.25,Tobacco,85558403072.0,8.645689,Not Available,2.55,0.081199996,5.8,20295000064.0,0.50052,12192000000.0,Not Available
AMZN,"Amazon.com, Inc.",Consumer Cyclical,"Seattle, Washington",1990123192320.0,201.2,131.71,166.45499999999998,188.39,Internet Retail,1986921889792.0,45.289474,8.398846,1.25,Not Available,4.18,604333998080.0,0.0735,104049000448.0,Not Available
AMCR,Amcor plc,Consumer Cyclical,"Warmley, Bristol, United Kingdom",15768659968.0,11.48,8.59,10.035,11.08,Packaging & Containers,15819246592.0,21.460785,4.0733156,2.0,0.045100003,0.51,13639999488.0,0.05352,1856999936.0,Not Available
