Symbol,Company Name,Sector,Market Cap,52-Week High,52-Week Low,Average Price,Previous Close
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,2875618816,88.56,35.59,56.1901,47.29
AAT,"American Assets Trust, Inc.",Real Estate,2008785664,29.15,20.03,24.613,26.26
ABCB,Ameris Bancorp,Financial Services,4212378368,74.56,44.0,56.9953,62.57
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,4630876672,277.13,195.09,235.43465,243.03
ABM,ABM Industries Incorporated,Industrials,3179837696,59.78,39.64,51.04185,50.915
ABR,"Arbor Realty Trust, Inc.",Real Estate,2599031808,15.94,11.92,13.9571,13.85
ACA,"Arcosa, Inc.",Industrials,4714765824,113.43,72.75,90.2256,96.74
ACIW,"ACI Worldwide, Inc.",Technology,5516112384,59.71,28.79,44.17405,51.91
ACLS,"Axcelis Technologies, Inc.",Technology,2281928192,158.61,68.23,105.1322,69.87
ADEA,Adeia Inc.,Technology,1500208384,14.75,9.6801,11.733825,13.98
ADMA,"ADMA Biologics, Inc.",Healthcare,4247928064,23.64,4.4,13.984625,17.15
ADNT,Adient plc,Consumer Cyclical,1421518848,36.04,16.43,24.06595,17.23
ADUS,Addus HomeCare Corporation,Healthcare,2253219072,136.12,85.94,119.28325,125.35
AEIS,"Advanced Energy Industries, Inc.",Industrials,4345214976,124.48,89.12,106.3317,115.63
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,3290707200,26.44,16.06,20.9408,16.67
AESI,Atlas Energy Solutions Inc.,Energy,3505400320,24.93,15.55,21.5412,22.18
AGO,Assured Guaranty Ltd.,Financial Services,4556139520,96.6,72.57,81.91465,90.01
AGYS,"Agilysys, Inc.",Technology,3622664448,142.64,73.52,105.53675,131.71
AHCO,AdaptHealth Corp.,Healthcare,1305183488,11.9,6.46,10.3334,9.52
AHH,"Armada Hoffler Properties, Inc.",Real Estate,1021708800,12.6,9.88,11.1226,10.23
AIN,Albany International Corp.,Consumer Cyclical,2478959872,98.73,67.39,84.91385,79.97
AIR,AAR Corp.,Industrials,2211555328,76.34,54.71,65.79385,61.28
AKR,Acadia Realty Trust,Real Estate,3083984128,26.29,16.1,20.8293,24.16
AL,Air Lease Corporation,Industrials,5341640704,52.31,39.15,47.18505,48.21
ALEX,"Alexander & Baldwin, Inc.",Real Estate,1280517888,20.3,15.53,17.9803,17.74
ALG,Alamo Group Inc.,Industrials,2172868096,231.4,163.74,187.84595,185.91
ALGT,Allegiant Travel Company,Industrials,1686721536,96.93,36.09,58.74905,94.12
ALK,"Alaska Air Group, Inc.",Industrials,8162564096,67.73,32.62,44.25475,64.75
